423245641,414691355,6
423245641,414691355,7
574894008,17538870,10
77349670,1789525,10
140975707,26348081,10
571472133,474943108,5
619752169,35847388,4
54672170,30089279,4
95031772,26067016,7
104492670,17620227,1
368785676,472107954,7
599492617,79941,9
537313106,2060304,10
44694970,27683337,8
85522712,28737747,5
30094851,411755851,10
58020555,28971281,8
530745505,28306069,1
488071179,562239,3
580273110,423118329,9
107997568,32272267,3
612189147,3027393,7
405997833,431610321,5
48981424,33054002,5
386400687,408332973,4
160877728,21407208,2
44662653,29593106,8
54710657,26377609,10
60378509,475254781,9
22305185,4262898,2
4961063,442682,8
13275803,17822810,2
52078069,3163079,7
23418851,28285267,9
373620457,462523301,4
40078568,28174846,9
27310807,130793,7
362664951,32957012,3
383929814,30394273,5
378461437,408522832,10
130564118,475072483,9
52744959,529186,1
17448814,19572271,10
36011068,186045,3
124759190,444312,3
505772716,405566130,2
318936573,26357990,3
607138638,16439857,1
415891731,423407899,1
106543177,32405166,3
588073489,444548574,10
62315333,300569,4
119725205,28959138,8
84356190,34033210,10
408899644,3939376,4
74871056,1491585,3
644464596,469073248,10
10556236,26494698,4
446129294,29023858,9
127416964,34923007,5
539013180,31273959,4
759955,27867449,6
114992004,411236134,8
57430227,1202623,10
488454819,427016671,6
369994855,475279461,5
55499111,17423737,3
66331159,18969206,2
8081644,3967740,8
76457266,16866796,1
99228323,22715757,3
88472875,1070560,4
624049017,437290581,4
503311851,473573408,1
26413038,65538,7
19626851,229703,7
549853707,432506367,10
436028072,41664637,9
129515560,5057950,7
478224022,165124,1
60491270,412187819,5
501486126,424163980,7
47040733,412016841,5
164785950,28738491,7
585232346,26548584,2
138738093,410801653,4
376067743,32317602,5
69986678,5276791,10
614636293,30039685,9
2897635,16629199,7
359950701,580564,2
68920035,28308080,6
94426962,21273659,3
6935044,1611806,5
46301372,116869,6
7862311,31517928,10
135595185,5202895,6
96867166,464553087,2
368227239,399354289,10
88443493,4941368,8
18148402,5264860,3
29245249,21394053,1
49800416,4152989,6
91139652,37988022,5
3275163,3885457,10
622954530,471374061,7
144429832,27965219,10
93686577,29979102,8
19390601,17608232,3
137952910,27584029,2
77423353,1864689,1
434626840,26145359,10
81189888,25906125,6
567394939,374826,4
54705392,30212853,4
92509527,475073085,1
23863851,31234658,9
21494045,20330696,3
15754757,1080934,1
544074231,28635230,1
4797896,460243246,9
63838551,406000700,2
577956005,34187525,2
103043796,417833697,7
457816464,202342,7
232024,1484866,10
426600380,34072463,10
11149399,5242124,6
613824061,460112347,2
27199730,19076330,10
45015566,248536,1
414993240,3025742,5
46866488,27646597,8
579461994,424498745,4
98880730,25643261,5
114386374,858520,7
690743884,421423806,6
627022875,25640377,8
33316932,456175579,7
135682470,406000814,10
30040245,17572559,2
59516312,990040,1
124204181,541981,7
596346864,465081254,7
312952489,405089420,3
36916891,28805125,9
568097180,463157222,6
448776732,27256818,1
4169309,282735,2
7774806,26620875,5
46734828,29850669,10
104350968,26115905,6
413774708,32752172,7
24207686,1491351,5
63693815,26535271,2
4842081,27550944,10
72891974,476354975,3
477741172,64386,10
510190176,29932696,7
553859616,405599963,9
124170316,21406135,7
25151215,5253801,9
2974605,16873871,1
43310184,464192157,4
23686114,413740236,7
69342695,27902120,4
22540547,190274,7
91692387,28732492,1
16796459,28315383,6
459944247,3423811,8
706043167,27867507,7
542146327,410801515,8
124980080,4877790,2
109107829,29019227,6
77062973,26247908,8
164039986,2424675,1
497519,3949444,9
108547576,34341062,9
460856603,5256554,1
133797734,1487974,7
221505,4279452,4
98074463,17405587,1
448716750,408277644,2
373183043,27901882,10
50989215,26145721,9
49085109,2540340,1
10922025,444269612,10
427924761,4968420,2
39774756,5112348,2
25141636,2594576,9
611243905,849425,2
596194206,28253715,3
94196803,432464860,9
127103627,474724792,4
67313765,28258589,5
44326281,28690482,9
100888244,411490670,1
22869457,175528,6
323562782,30780255,6
431103121,30841995,10
621048346,470736413,1
2860375,440353155,9
87242544,28283406,5
41914924,4153635,7
20823316,167802,1
86686477,459344058,10
24760914,3927810,8
311912905,472937013,6
92794615,404783548,4
700036362,408277546,10
41766154,1926683,8
79306522,28878993,9
369928604,28784119,4
119598926,399410695,8
425678763,472137886,5
632031656,466122271,9
22234838,2529311,2
618683313,28606104,6
93073091,36872926,10
315912591,31452305,8
84581571,22831305,2
117422358,28747850,10
32376052,22688487,10
58325700,28885052,4
16653932,131525,10
467340851,35331935,4
68402083,34149143,8
96627785,420008266,3
370957990,410654688,8
50496205,462857201,1
104230598,28562528,6
49893625,29497622,2
8783849,27483202,5
38847020,5053625,9
156934569,95796,2
531424644,26075548,8
19610174,2177936,1
120309452,36024341,7
167103958,38392813,3
565780133,2061452,8
51935204,29748058,2
137751357,27928548,1
100653145,608923,5
414836586,35283090,3
437162526,414706021,2
65997222,18189833,10
405683351,406730459,2
321164692,33085013,10
9145355,5256109,4
147867981,5191183,9
485972107,112678,9
64727083,3932159,3
152319252,4878615,3
15637002,30413351,4
367632186,22456626,6
121151038,17269601,6
56117621,28151022,9
649187834,857606,1
470720330,419373910,5
711957651,300062,3
423330582,27526284,3
63009909,26365350,10
404239523,27785103,6
432058146,316691,8
128204119,4278298,8
474676342,34834640,4
145034134,16426485,7
430211356,243673,9
433857567,412903005,9
392797617,17572184,8
453835235,32217265,1
624217740,29436904,5
439765757,1934649,7
58618277,29728077,5
406247176,27610163,9
94707399,29401106,2
18541574,17237929,1
4780891,16146698,1
499136181,308353,1
632503024,30375354,10
22355680,27907499,6
462253391,22650708,7
405459119,468669402,7
458945175,1923489,8
86952720,422073136,7
109220141,4272313,4
60520237,416011686,2
105950981,3795286,6
57369150,29910042,9
75338648,18085627,4
15181772,16849952,2
106889317,1809428,6
390821528,26128309,9
326304506,473742887,3
509607503,445666277,9
24675988,857896,6
115900031,29947420,7
312161833,28595315,7
404723973,31473269,9
91250837,755131,3
5941087,186683,8
171047967,426194767,4
25932859,25918286,7
321356343,25657563,4
68546238,4164317,4
459280801,19197282,2
94599006,632907,2
118605627,412911569,8
80043867,459954579,6
104754392,18095052,5
310378741,347702,6
91291485,386900,7
366484496,509905,2
460995505,475175272,6
126815861,30621304,5
162681405,541879,1
561400311,451113592,9
71628670,228762,9
86091196,28590224,8
393920673,35270706,6
414736613,415593515,8
139044249,730856,5
139004668,404038,1
163019248,31311010,4
613527455,411921863,4
705997262,28606052,6
74304677,797129,2
37046141,27808770,9
78349485,1477991,7
309673816,26508150,8
65064221,225081,4
3291590,5061655,10
100021804,31273679,4
95671789,33314339,9
126103405,430307,5
418348202,29809833,10
37635983,16648232,10
25055586,26040121,9
136798805,28786432,8
82948198,28096461,2
170117732,407000507,4
150445810,17405512,4
31995614,1491212,1
46455352,31594269,6
23704825,21388837,8
24217505,1370001,2
636234261,34999786,3
113527529,724495,9
524924735,455311479,3
498747467,31209775,6
87194892,28592966,8
465685859,26128875,3
96695134,22421855,1
27103389,3934919,6
381259621,463157952,10
595818725,169144,4
19156430,2870193,7
76454690,1426486,3
19910092,435948605,1
73191681,695772,1
61936450,418603076,9
79431696,88853,1
525593441,28727903,9
578870158,22762858,4
121933073,31140326,4
96279142,33715026,4
47807190,35778030,5
7062814,448317748,8
376317319,400876516,2
498739618,37211953,10
36978052,3880210,9
116201340,167975,7
58306347,29567095,7
60004710,22539903,7
10502129,308043,3
46329889,29787426,3
159120336,31814005,10
81872285,406752348,1
160511481,27776347,10
426067450,209917,2
44088059,5270819,1
